Time,Moment_My_N-m,Curvature_phi_y_rad/m
6.922610e+06,3.064300e-16,-8.001620e+05
6.929770e+06,3.285810e-16,-8.001250e+05
6.936290e+06,3.606280e-16,-8.000600e+05
6.895610e+06,-1.105160e-15,-8.001210e+05
6.903030e+06,-6.837450e-16,-7.999640e+05
6.909210e+06,3.000160e-16,-7.997900e+05
6.914570e+06,6.933110e-16,-7.996150e+05
6.919630e+06,9.031580e-16,-7.994300e+05
6.924490e+06,1.089520e-15,-7.992340e+05
6.929180e+06,1.252430e-15,-7.990260e+05
6.933760e+06,1.387850e-15,-7.988070e+05
6.938260e+06,1.504150e-15,-7.985770e+05
6.942660e+06,1.606670e-15,-7.983360e+05
6.850140e+06,1.953780e-16,-7.988820e+05
6.858320e+06,-9.154480e-16,-7.997700e+05
6.864550e+06,-1.010750e-15,-7.994640e+05
6.870050e+06,-9.835550e-16,-7.991680e+05
6.875290e+06,-9.223110e-16,-7.988690e+05
6.880290e+06,-8.956600e-16,-7.985670e+05
6.884970e+06,-8.604310e-16,-7.982600e+05
6.889490e+06,-8.360280e-16,-7.979470e+05
6.893920e+06,-8.307370e-16,-7.976280e+05
6.898290e+06,-8.236440e-16,-7.973040e+05
6.902580e+06,-8.088940e-16,-7.969750e+05
6.906800e+06,-7.965990e-16,-7.966420e+05
6.826370e+06,2.429510e-17,-7.978020e+05
6.832500e+06,9.451170e-16,-7.976870e+05
6.837830e+06,9.069240e-16,-7.973120e+05
6.696900e+06,5.577820e-16,-7.575250e+05
6.704750e+06,4.289570e-16,-7.574560e+05
6.712330e+06,-1.205000e-16,-7.573880e+05
6.719340e+06,-4.612720e-16,-7.572570e+05
6.726040e+06,-6.069690e-16,-7.571200e+05
6.732640e+06,-6.301700e-16,-7.569810e+05
6.739100e+06,-5.927700e-16,-7.568400e+05
6.744830e+06,-5.392500e-16,-7.566940e+05
6.749580e+06,-4.616420e-16,-7.565600e+05
6.754100e+06,-3.702380e-16,-7.564280e+05
6.758460e+06,-2.714690e-16,-7.562960e+05
6.762740e+06,-1.877680e-16,-7.561630e+05
6.766890e+06,-1.096850e-16,-7.560280e+05
