
--- Dataset Generation Session Started: 2025-12-12 11:32:11.054280 ---
Attempting to generate 200 NEW samples (starting from ID 0).

Sample 170 (Run 174): SUCCESS - Success (Time: 47.59s)
Sample 171 (Run 176): SUCCESS - Success (Time: 21.43s)
Sample 172 (Run 178): SUCCESS - Success (Time: 407.05s)
Sample 173 (Run 181): SUCCESS - Success (Time: 23.60s)
Sample 174 (Run 182): SUCCESS - Success (Time: 21.38s)
Sample 175 (Run 183): SUCCESS - Success (Time: 51.81s)
Sample 176 (Run 186): SUCCESS - Success (Time: 63.15s)
Sample 177 (Run 187): SUCCESS - Success (Time: 20.60s)
Sample 178 (Run 188): SUCCESS - Success (Time: 71.39s)
Sample 179 (Run 189): SUCCESS - Success (Time: 50.72s)
Sample 180 (Run 191): SUCCESS - Success (Time: 45.51s)
Sample 181 (Run 193): SUCCESS - Success (Time: 16.23s)
Sample 182 (Run 194): SUCCESS - Success (Time: 23.12s)
Sample 183 (Run 196): SUCCESS - Success (Time: 47.08s)
Sample 184 (Run 197): SUCCESS - Success (Time: 56.95s)
Sample 185 (Run 198): SUCCESS - Success (Time: 20.01s)
Sample 186 (Run 199): SUCCESS - Success (Time: 27.91s)
Sample 187 (Run 200): SUCCESS - Success (Time: 45.98s)
Sample 188 (Run 202): SUCCESS - Success (Time: 17.95s)
Sample 189 (Run 203): SUCCESS - Success (Time: 20.45s)
Sample 190 (Run 204): SUCCESS - Success (Time: 147.64s)
Sample 191 (Run 205): SUCCESS - Success (Time: 27.15s)
Sample 192 (Run 206): SUCCESS - Success (Time: 47.84s)
Sample 193 (Run 207): SUCCESS - Success (Time: 63.96s)
Sample 194 (Run 208): SUCCESS - Success (Time: 185.34s)
Sample 195 (Run 209): SUCCESS - Success (Time: 26.80s)
Sample 196 (Run 210): SUCCESS - Success (Time: 29.64s)
Sample 197 (Run 211): SUCCESS - Success (Time: 26.75s)
Sample 198 (Run 212): SUCCESS - Success (Time: 30.14s)
Sample 199 (Run 213): SUCCESS - Success (Time: 32.86s)
Sample 200 (Run 214): SUCCESS - Success (Time: 50.17s)
Sample 201 (Run 216): SUCCESS - Success (Time: 43.55s)
Sample 202 (Run 219): SUCCESS - Success (Time: 62.03s)
Sample 203 (Run 220): SUCCESS - Success (Time: 51.31s)
Sample 204 (Run 221): SUCCESS - Success (Time: 35.52s)
Sample 205 (Run 223): SUCCESS - Success (Time: 42.32s)
Sample 206 (Run 224): SUCCESS - Success (Time: 20.55s)
Sample 207 (Run 225): SUCCESS - Success (Time: 28.81s)
Sample 208 (Run 226): SUCCESS - Success (Time: 42.46s)
Sample 209 (Run 229): SUCCESS - Success (Time: 46.39s)
Sample 210 (Run 230): SUCCESS - Success (Time: 37.82s)
Sample 211 (Run 231): SUCCESS - Success (Time: 80.50s)
Sample 212 (Run 232): SUCCESS - Success (Time: 55.12s)
Sample 213 (Run 233): SUCCESS - Success (Time: 41.02s)
Sample 214 (Run 234): SUCCESS - Success (Time: 63.99s)
Sample 215 (Run 235): SUCCESS - Success (Time: 36.20s)
Sample 216 (Run 237): SUCCESS - Success (Time: 49.81s)
Sample 217 (Run 238): SUCCESS - Success (Time: 48.45s)
Sample 218 (Run 240): SUCCESS - Success (Time: 77.97s)
Sample 219 (Run 241): SUCCESS - Success (Time: 53.39s)
Sample 220 (Run 242): SUCCESS - Success (Time: 46.29s)
Sample 221 (Run 243): SUCCESS - Success (Time: 70.27s)
Sample 222 (Run 244): SUCCESS - Success (Time: 36.88s)
Sample 223 (Run 245): SUCCESS - Success (Time: 28.49s)
Sample 224 (Run 246): SUCCESS - Success (Time: 22.36s)
Sample 225 (Run 247): SUCCESS - Success (Time: 16.68s)
Sample 226 (Run 250): SUCCESS - Success (Time: 34.40s)
Sample 227 (Run 251): SUCCESS - Success (Time: 20.32s)
Sample 228 (Run 252): SUCCESS - Success (Time: 128.09s)
Sample 229 (Run 253): SUCCESS - Success (Time: 25.00s)
Sample 230 (Run 254): SUCCESS - Success (Time: 60.39s)
Sample 231 (Run 256): SUCCESS - Success (Time: 42.16s)
Sample 232 (Run 257): SUCCESS - Success (Time: 24.22s)
Sample 233 (Run 258): SUCCESS - Success (Time: 19.81s)
Sample 234 (Run 260): SUCCESS - Success (Time: 40.50s)
Sample 235 (Run 261): SUCCESS - Success (Time: 48.15s)
Sample 236 (Run 262): SUCCESS - Success (Time: 79.05s)
Sample 237 (Run 264): SUCCESS - Success (Time: 35.00s)
Sample 238 (Run 265): SUCCESS - Success (Time: 42.51s)
Sample 239 (Run 266): SUCCESS - Success (Time: 67.62s)
Sample 240 (Run 267): SUCCESS - Success (Time: 50.70s)
Sample 241 (Run 268): SUCCESS - Success (Time: 49.81s)
Sample 242 (Run 269): SUCCESS - Success (Time: 38.02s)
Sample 243 (Run 270): SUCCESS - Success (Time: 37.29s)
Sample 244 (Run 271): SUCCESS - Success (Time: 39.89s)
Sample 245 (Run 276): SUCCESS - Success (Time: 31.43s)
Sample 246 (Run 278): SUCCESS - Success (Time: 15.58s)
Sample 247 (Run 280): SUCCESS - Success (Time: 65.57s)
Sample 248 (Run 282): SUCCESS - Success (Time: 166.57s)
Sample 249 (Run 283): SUCCESS - Success (Time: 89.75s)
Sample 250 (Run 285): SUCCESS - Success (Time: 27.17s)
Sample 251 (Run 286): SUCCESS - Success (Time: 31.40s)
Sample 252 (Run 287): SUCCESS - Success (Time: 20.96s)

