Roof_Displacement_m,Base_Shear_N,Pseudo_Time
0.044800,5422712.000000,5422700.000000
0.045500,5477370.000000,5477370.000000
0.046200,5531684.000000,5531680.000000
0.046900,5585646.000000,5585640.000000
0.047600,5639216.000000,5639210.000000
0.048300,5692432.000000,5692420.000000
0.049000,5745310.000000,5745310.000000
0.049700,5797680.000000,5797680.000000
0.050400,5849702.000000,5849700.000000
0.051100,5901440.000000,5901440.000000
0.051800,5952810.000000,5952800.000000
0.052500,6003792.000000,6003790.000000
0.053200,6054368.000000,6054350.000000
0.053900,6104570.000000,6104570.000000
0.054600,6154488.000000,6154490.000000
0.055300,6204064.000000,6204060.000000
0.056000,6253250.000000,6253250.000000
0.056700,6302142.000000,6302140.000000
0.057400,6350748.000000,6350750.000000
0.058100,6399006.000000,6399000.000000
0.058800,6446830.000000,6446820.000000
0.059500,6494172.000000,6494170.000000
0.060200,6541124.000000,6541120.000000
0.060900,6587746.000000,6587750.000000
0.061600,6634068.000000,6634070.000000
0.062300,6680042.000000,6680040.000000
0.063000,6725698.000000,6725700.000000
0.063700,6771010.000000,6771010.000000
0.064400,6815926.000000,6815920.000000
0.065100,6860540.000000,6860540.000000
0.065800,6904842.000000,6904850.000000
0.066500,6948820.000000,6948820.000000
0.067200,6992436.000000,6992430.000000
0.067900,7035710.000000,7035710.000000
0.068600,7078650.000000,7078650.000000
0.069300,7121258.000000,7121250.000000
0.070000,7163526.000000,7163530.000000
0.070700,7205494.000000,7205490.000000
0.071400,7247074.000000,7247050.000000
0.072100,7288300.000000,7288300.000000
0.072800,7329204.000000,7329200.000000
0.073500,7369790.000000,7369790.000000
0.074200,7410060.000000,7410060.000000
0.074900,7449976.000000,7449960.000000
0.075600,7489566.000000,7489560.000000
0.076300,7528850.000000,7528850.000000
0.077000,7567786.000000,7567780.000000
0.077700,7606350.000000,7606350.000000
0.078400,7559796.000000,7559770.000000
0.079100,7574126.000000,7574120.000000
0.079800,7596276.000000,7596270.000000
0.080500,7620676.000000,7620670.000000
0.081200,7658470.000000,7658470.000000
0.081900,7695938.000000,7695940.000000
0.082600,7733036.000000,7733040.000000
0.083300,7651226.000000,7651150.000000
0.084000,7686248.000000,7686170.000000
0.084700,7719516.000000,7719520.000000
0.085400,7707190.000000,7707190.000000
0.086100,7688194.000000,7688190.000000
0.086800,7689934.000000,7689940.000000
0.087500,7692344.000000,7692350.000000
0.088200,7633610.000000,7633610.000000
0.088900,7648762.000000,7648760.000000
0.089600,7677594.000000,7677590.000000
0.090300,7710524.000000,7710530.000000
0.091000,7724990.000000,7724990.000000
0.091700,7748380.000000,7748380.000000
0.092400,7762646.000000,7762640.000000
0.093100,7737296.000000,7737350.000000
0.093800,7710824.000000,7711030.000000
0.094500,7645628.000000,7645670.000000
0.095200,7611762.000000,7611760.000000
0.095900,7638840.000000,7638840.000000
0.096600,7648976.000000,7648980.000000
0.097300,7677226.000000,7677220.000000
0.098000,7692110.000000,7692120.000000
0.098700,7669988.000000,7669970.000000
0.099400,7647714.000000,7647700.000000
0.100100,7661272.000000,7661290.000000
0.100800,7684850.000000,7684810.000000
0.101500,7696584.000000,7696580.000000
0.102200,7716830.000000,7716840.000000
0.102900,7707688.000000,7707690.000000
0.103600,7700324.000000,7700330.000000
0.104300,7730558.000000,7730550.000000
0.105000,7743554.000000,7743560.000000
0.105700,7770046.000000,7770040.000000
0.106400,7791612.000000,7791600.000000
0.107100,7806908.000000,7806910.000000
0.107800,7818788.000000,7818790.000000
0.108500,7832438.000000,7832440.000000
0.109200,7857044.000000,7857040.000000
0.109900,7883408.000000,7883400.000000
0.110600,7889924.000000,7889920.000000
0.111300,7915348.000000,7915320.000000
0.112000,7924712.000000,7924700.000000
0.112700,7917042.000000,7917020.000000
0.113400,7897576.000000,7897520.000000
0.114100,7917168.000000,7917170.000000
0.114800,7944644.000000,7944640.000000
0.115500,7964360.000000,7964370.000000
0.116200,7975620.000000,7975620.000000
0.116900,7985312.000000,7985310.000000
0.117600,7941672.000000,7941660.000000
0.118300,7901870.000000,7901400.000000
0.119000,7906806.000000,7906810.000000
0.119700,7915746.000000,7915750.000000
0.120400,7926582.000000,7926580.000000
0.121100,7939756.000000,7939760.000000
0.121800,7950842.000000,7950840.000000
0.122500,7963374.000000,7963360.000000
0.123200,7990262.000000,7990240.000000
0.123900,8016828.000000,8016820.000000
0.124600,8015524.000000,8015520.000000
0.125300,8022410.000000,8022400.000000
0.126000,7958092.000000,7958010.000000
0.126700,7800868.000000,7800870.000000
0.127400,7770794.000000,7770760.000000
0.128100,7781302.000000,7781050.000000
0.128800,7799668.000000,7799660.000000
0.129500,7808486.000000,7808480.000000
0.130200,7813686.000000,7813690.000000
0.130900,7839678.000000,7839680.000000
0.131600,7866654.000000,7866670.000000
0.132300,7886684.000000,7886640.000000
0.133000,7909230.000000,7909220.000000
0.133700,7886132.000000,7886080.000000
0.134400,7880732.000000,7880410.000000
0.135100,7899944.000000,7898500.000000
0.135800,7914976.000000,7914940.000000
0.136500,7932554.000000,7932560.000000
0.137200,7926520.000000,7926360.000000
0.137900,7937072.000000,7937080.000000
0.138600,7890080.000000,7890060.000000
0.139300,7859650.000000,7859280.000000
